Vehicle Name;Retail Price;Engine Size (l);Cyl;HP;City MPG;Hwy MPG;Weight;Len;Width
Acura 3.5 RL 4dr;43755;3.5;6;225;18;24;3880;197;72
Acura 3.5 RL w/Navigation 4dr;46100;3.5;6;225;18;24;3893;197;72
Acura MDX;36945;3.5;6;265;17;23;4451;189;77
Acura NSX coupe 2dr manual S;89765;3.2;6;290;17;24;3153;174;71
Acura RSX Type S 2dr;23820;2;4;200;24;31;2778;172;68
Acura TL 4dr;33195;3.2;6;270;20;28;3575;186;72
Acura TSX 4dr;26990;2.4;4;200;22;29;3230;183;69
Audi A4 1.8T 4dr;25940;1.8;4;170;22;31;3252;179;70
Audi A4 3.0 4dr;31840;3;6;220;20;28;3462;179;70
Audi A4 3.0 convertible 2dr;42490;3;6;220;20;27;3814;180;70
Audi A4 3.0 Quattro 4dr auto;34480;3;6;220;18;25;3627;179;70
Audi A4 3.0 Quattro 4dr manual;33430;3;6;220;17;26;3583;179;70
Audi A4 3.0 Quattro convertible 2dr;44240;3;6;220;18;25;4013;180;70
Audi A41.8T convertible 2dr;35940;1.8;4;170;23;30;3638;180;70
Audi A6 2.7 Turbo Quattro 4dr;42840;2.7;6;250;18;25;3836;192;71
Audi A6 3.0 4dr;36640;3;6;220;20;27;3561;192;71
Audi A6 3.0 Avant Quattro;40840;3;6;220;18;25;4035;192;71
Audi A6 3.0 Quattro 4dr;39640;3;6;220;18;25;3880;192;71
Audi A6 4.2 Quattro 4dr;49690;4.2;8;300;17;24;4024;193;71
Audi A8 L Quattro 4dr;69190;4.2;8;330;17;24;4399;204;75
Audi RS 6 4dr;84600;4.2;8;450;15;22;4024;191;78
Audi S4 Avant Quattro;49090;4.2;8;340;15;21;3936;179;70
Audi S4 Quattro 4dr;48040;4.2;8;340;14;20;3825;179;70
Audi TT 1.8 convertible 2dr (coupe);35940;1.8;4;180;20;28;3131;159;73
Audi TT 1.8 Quattro 2dr (convertible);37390;1.8;4;225;20;28;2921;159;73
Audi TT 3.2 coupe 2dr (convertible);40590;3.2;6;250;21;29;3351;159;73
BMW 325Ci 2dr;30795;2.5;6;184;20;29;3197;177;69
BMW 325Ci convertible 2dr;37995;2.5;6;184;19;27;3560;177;69
BMW 325i 4dr;28495;2.5;6;184;20;29;3219;176;69
BMW 325xi 4dr;30245;2.5;6;184;19;27;3461;176;69
BMW 325xi Sport;32845;2.5;6;184;19;26;3594;176;69
BMW 330Ci 2dr;36995;3;6;225;20;30;3285;176;69
BMW 330Ci convertible 2dr;44295;3;6;225;19;28;3616;177;69
BMW 330i 4dr;35495;3;6;225;20;30;3285;176;69
BMW 330xi 4dr;37245;3;6;225;20;29;3483;176;69
BMW 525i 4dr;39995;2.5;6;184;19;28;3428;191;73
BMW 530i 4dr;44995;3;6;225;20;30;3472;191;73
BMW 545iA 4dr;54995;4.4;8;325;18;26;3814;191;73
BMW 745i 4dr;69195;4.4;8;325;18;26;4376;198;75
